Pos : 1,Iter : 1,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57
1,851.25,11.35

Pos : 1,Iter : 2,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57

Pos : 1,Iter : 3,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57

Pos : 1,Iter : 1,Collisions: 0
agent_id,Distance,Time
0,230.0,3.07

Pos : 1,Iter : 2,Collisions: 0
agent_id,Distance,Time
0,230.0,3.07

Pos : 1,Iter : 1,Collisions: 17
agent_id,Distance,Time
20,698.2,11.03
21,1439.98,19.0
22,849.54,20.38
23,1000.0,13.33
24,836.31,13.92
25,902.43,14.82
26,586.73,8.28
27,831.63,12.42
28,357.02,5.08
29,257.02,3.88
30,391.27,5.98
31,491.25,6.55
32,969.55,12.12
33,1313.54,26.55
34,609.88,16.5
35,1031.6,22.37
36,518.3,7.07
37,703.5,9.92
38,1008.57,20.33
39,577.24,7.38
40,1066.99,13.78
41,569.49,9.23
42,331.92,4.73
43,846.67,12.63
44,793.64,10.8
45,891.86,13.95
46,782.8,10.38
47,658.14,11.5
48,1104.35,23.55
49,791.29,11.33
50,720.87,18.27

Pos : 1,Iter : 8,Collisions: 0
agent_id,Distance,Time
0,109.76,2.08
1,158.65,2.08
2,156.25,2.08
3,108.17,2.08
4,156.25,2.08
5,148.94,2.08
6,146.84,2.08
7,156.25,2.08
8,156.25,2.08
9,154.81,2.08
10,120.87,2.08
11,103.78,2.08
12,40.28,0.48
13,87.55,2.08
14,173.61,2.08
15,96.44,2.08
16,156.25,2.08
17,173.61,2.08
18,88.89,2.08
19,156.25,2.08
20,156.25,2.08
21,129.17,2.08
22,121.73,2.08
23,156.25,2.08
24,120.19,2.08
25,131.25,2.08
26,146.56,2.08
27,123.17,2.08
28,132.02,2.08
29,122.79,2.08
30,145.07,2.08
31,156.25,2.08
32,158.65,2.08
33,107.22,2.08
34,94.82,2.08
35,119.56,2.08
36,173.61,2.08
37,156.25,2.08
38,139.33,2.08
39,173.61,2.08
40,147.97,2.08
41,96.21,2.08
42,133.17,2.08
43,139.22,2.08
44,88.52,2.08
45,138.79,2.08
46,173.61,2.08
47,156.25,2.08
48,135.75,2.08
49,173.61,2.08
50,91.96,2.08

Pos : 1,Iter : 1,Collisions: 1
agent_id,Distance,Time
0,883.17,12.68
1,900.4,12.92
2,958.81,17.6
3,1040.26,19.45
4,1310.19,17.63
5,868.39,14.6
6,1041.3,15.35
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,302.02,4.48
11,911.37,13.85
12,40.28,0.48
13,773.64,16.38
14,765.19,13.77
15,910.63,15.02
16,1082.5,14.43
17,936.43,12.02
18,838.56,19.65
19,413.63,12.42
20,875.0,10.5
21,120.76,2.25
22,692.69,11.92
23,202.58,3.0
24,433.34,7.25
25,437.31,8.2
26,775.8,13.47
27,781.01,13.13
28,443.72,8.13
29,741.5,11.6
30,655.58,9.37
31,1385.14,19.55
32,410.1,7.28
33,404.6,6.3
34,946.05,14.22
35,236.66,4.57
36,718.66,12.8
37,713.89,8.57
38,766.67,9.2
39,974.48,17.7
40,960.49,18.22
41,618.87,13.38
42,833.42,13.08
43,393.58,6.72
44,428.15,5.32
45,829.38,15.48
46,659.09,11.2
47,185.0,2.73
48,575.0,8.1
49,887.93,11.05
50,387.5,5.17

Pos : 1,Iter : 2,Collisions: 11
agent_id,Distance,Time
0,881.87,14.78
1,899.06,16.65
2,959.71,13.48
3,1343.1,24.5
4,1312.5,17.5
5,867.48,18.77
6,1042.04,20.35
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,301.35,9.63
11,911.22,15.07
12,40.28,0.48
13,879.14,15.98
14,584.84,13.97
15,911.65,16.83
16,1081.63,14.48
17,637.61,8.4
18,1685.0,27.75
19,415.0,5.8
20,875.0,10.57
21,120.76,2.25
22,691.57,17.95
23,202.58,3.0
24,434.07,7.03
25,437.31,8.2
26,775.57,13.83
27,780.46,12.35
28,443.72,8.13
29,741.5,11.6
30,656.06,9.05
31,1082.21,20.67
32,410.1,7.28
33,405.25,7.02
34,947.39,13.78
35,236.49,4.65
36,718.04,17.23
37,714.85,8.85
38,766.67,9.2
39,973.55,18.47
40,959.29,13.05
41,1454.46,25.33
42,1072.73,22.62
43,411.14,12.68
44,428.15,5.32
45,552.26,14.52
46,658.88,10.9
47,185.0,2.47
48,575.0,8.1
49,888.3,11.52
50,387.5,5.17

Pos : 1,Iter : 3,Collisions: 13
agent_id,Distance,Time
0,881.71,14.38
1,901.08,18.07
2,958.7,14.87
3,1380.51,26.43
4,1311.9,23.53
5,1202.42,21.58
6,1043.27,14.57
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,606.15,15.52
11,911.73,19.68
12,40.28,0.48
13,775.82,13.22
14,464.21,5.88
15,909.22,16.78
16,1082.5,14.43
17,1239.4,21.72
18,1144.84,27.25
19,412.97,6.75
20,875.77,10.52
21,120.76,2.25
22,693.56,15.53
23,202.19,8.0
24,433.96,7.38
25,437.15,8.95
26,776.12,11.97
27,780.34,11.78
28,443.72,8.13
29,741.9,13.75
30,656.06,9.05
31,1083.08,19.47
32,696.47,18.35
33,404.6,7.02
34,946.24,14.78
35,237.13,4.13
36,717.09,14.4
37,714.1,8.6
38,766.67,9.2
39,976.63,13.08
40,959.51,11.82
41,958.8,19.23
42,1135.98,22.38
43,394.43,6.82
44,428.85,10.17
45,252.28,4.45
46,659.09,11.4
47,185.0,2.47
48,576.38,15.62
49,887.6,12.17
50,387.5,5.17

Pos : 1,Iter : 4,Collisions: 14
agent_id,Distance,Time
0,882.12,14.38
1,901.08,13.13
2,959.81,19.03
3,1344.09,25.62
4,1312.5,17.5
5,867.4,17.25
6,1042.79,20.5
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,603.84,10.07
11,911.27,19.67
12,40.28,0.48
13,774.79,13.83
14,488.82,11.42
15,1208.12,19.67
16,1081.44,15.12
17,1017.56,14.97
18,841.29,18.27
19,413.35,6.75
20,879.29,12.07
21,120.76,2.25
22,875.81,14.75
23,505.08,7.03
24,458.38,13.68
25,437.46,8.78
26,776.08,16.58
27,779.44,11.2
28,443.72,8.13
29,742.41,14.35
30,655.0,14.2
31,1083.27,24.77
32,711.93,16.85
33,405.25,7.02
34,947.39,13.78
35,236.96,4.02
36,716.67,13.6
37,713.89,8.57
38,766.67,9.2
39,977.12,18.03
40,959.08,11.82
41,1024.81,16.7
42,832.79,22.03
43,394.43,10.55
44,430.02,6.63
45,252.28,4.45
46,658.88,10.9
47,185.0,2.47
48,575.96,13.45
49,887.51,13.08
50,386.63,5.48

Pos : 1,Iter : 5,Collisions: 1
agent_id,Distance,Time
0,884.42,11.83
1,1274.82,20.62
2,960.53,17.72
3,1041.57,15.35
4,1309.04,18.97
5,868.39,12.85
6,1042.21,14.85
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,602.9,9.68
11,911.54,18.0
12,40.28,0.48
13,776.06,13.35
14,464.1,6.33
15,1209.99,17.03
16,1082.21,15.05
17,636.9,9.3
18,840.6,14.03
19,412.97,6.75
20,875.8,10.83
21,120.76,2.25
22,693.36,10.1
23,504.31,7.17
24,434.58,8.07
25,437.53,9.02
26,774.32,12.32
27,780.67,11.68
28,443.72,8.13
29,742.38,13.8
30,656.06,9.05
31,1083.56,14.95
32,713.02,11.9
33,405.35,6.08
34,947.39,13.78
35,236.66,4.57
36,716.67,8.6
37,713.89,8.57
38,766.67,9.2
39,976.63,13.88
40,959.94,11.75
41,618.27,10.45
42,832.09,13.52
43,394.04,6.45
44,430.27,7.4
45,252.28,4.45
46,658.66,11.0
47,185.0,2.47
48,575.22,8.13
49,886.95,18.17
50,387.5,5.17

Pos : 1,Iter : 6,Collisions: 0
agent_id,Distance,Time
0,882.98,13.12
1,899.47,14.53
2,960.0,16.98
3,1040.14,15.33
4,1310.29,18.05
5,868.39,12.85
6,1042.21,14.85
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,602.14,9.72
11,911.15,13.0
12,40.28,0.48
13,776.42,13.33
14,464.1,6.33
15,1209.77,15.77
16,1082.5,14.43
17,636.9,9.3
18,839.92,14.02
19,413.35,6.75
20,875.8,10.83
21,120.76,2.25
22,693.16,10.1
23,505.08,7.03
24,434.58,8.07
25,437.12,9.0
26,774.32,12.32
27,780.67,11.68
28,443.72,8.13
29,742.41,13.77
30,656.06,9.05
31,1083.56,14.95
32,712.93,11.88
33,404.6,6.3
34,947.39,13.78
35,236.66,4.57
36,716.67,8.6
37,713.89,8.57
38,766.67,9.2
39,976.63,13.88
40,960.36,12.15
41,619.04,10.45
42,830.33,14.93
43,394.04,6.45
44,430.27,7.4
45,252.28,4.45
46,659.09,11.0
47,185.0,2.47
48,575.59,8.13
49,886.91,12.27
50,387.5,5.17

Pos : 1,Iter : 7,Collisions: 0
agent_id,Distance,Time
0,882.12,13.1
1,899.47,14.53
2,960.0,16.98
3,1041.0,15.35
4,1310.29,18.05
5,868.39,12.85
6,1042.21,14.85
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,602.14,9.72
11,911.15,13.0
12,40.28,0.48
13,776.06,13.35
14,464.1,6.33
15,1209.77,15.77
16,1082.5,14.43
17,636.9,9.3
18,840.4,14.03
19,412.97,6.75
20,875.8,10.83
21,120.76,2.25
22,693.16,10.1
23,505.08,7.03
24,434.58,8.07
25,437.53,9.02
26,774.32,12.32
27,780.67,11.68
28,443.72,8.13
29,742.38,13.8
30,656.06,9.05
31,1083.56,14.95
32,713.02,11.9
33,404.6,6.3
34,947.39,13.78
35,236.66,4.57
36,716.67,8.6
37,713.89,8.57
38,766.67,9.2
39,976.63,13.88
40,960.79,12.15
41,619.04,10.45
42,830.33,14.93
43,394.04,6.45
44,430.27,7.4
45,252.28,4.45
46,658.66,11.0
47,185.0,2.47
48,575.22,8.13
49,886.91,12.27
50,387.5,5.17

Pos : 1,Iter : 8,Collisions: 0
agent_id,Distance,Time
0,882.98,13.12
1,899.47,14.53
2,960.0,16.98
3,1040.14,15.33
4,1310.29,18.05
5,868.39,12.85
6,1042.21,14.85
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,602.14,9.72
11,911.15,13.0
12,40.28,0.48
13,776.42,13.33
14,464.1,6.33
15,1209.77,15.77
16,1082.5,14.43
17,636.9,9.3
18,839.92,14.02
19,413.35,6.75
20,875.8,10.83
21,120.76,2.25
22,693.16,10.1
23,505.08,7.03
24,434.58,8.07
25,437.12,9.0
26,774.32,12.32
27,780.67,11.68
28,443.72,8.13
29,742.41,13.77
30,656.06,9.05
31,1083.56,14.95
32,712.93,11.88
33,404.6,6.3
34,947.39,13.78
35,236.66,4.57
36,716.67,8.6
37,713.89,8.57
38,766.67,9.2
39,976.63,13.88
40,960.36,12.15
41,619.04,10.45
42,830.33,14.93
43,394.04,6.45
44,430.27,7.4
45,252.28,4.45
46,659.09,11.0
47,185.0,2.47
48,575.59,8.13
49,886.91,12.27
50,387.5,5.17

Pos : 1,Iter : 9,Collisions: 0
agent_id,Distance,Time
0,882.12,13.1
1,899.47,14.53
2,960.0,16.98
3,1041.0,15.35
4,1310.29,18.05
5,868.39,12.85
6,1042.21,14.85
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,602.14,9.72
11,911.15,13.0
12,40.28,0.48
13,776.06,13.35
14,464.1,6.33
15,1209.77,15.77
16,1082.5,14.43
17,636.9,9.3
18,840.4,14.03
19,412.97,6.75
20,875.8,10.83
21,120.76,2.25
22,693.16,10.1
23,505.08,7.03
24,434.58,8.07
25,437.53,9.02
26,774.32,12.32
27,780.67,11.68
28,443.72,8.13
29,742.38,13.8
30,656.06,9.05
31,1083.56,14.95
32,713.02,11.9
33,404.6,6.3
34,947.39,13.78
35,236.66,4.57
36,716.67,8.6
37,713.89,8.57
38,766.67,9.2
39,976.63,13.88
40,960.79,12.15
41,619.04,10.45
42,830.33,14.93
43,394.04,6.45
44,430.27,7.4
45,252.28,4.45
46,658.66,11.0
47,185.0,2.47
48,575.22,8.13
49,886.91,12.27
50,387.5,5.17

Pos : 1,Iter : 10,Collisions: 0
agent_id,Distance,Time
0,882.98,13.12
1,899.47,14.53
2,960.0,16.98
3,1040.14,15.33
4,1310.29,18.05
5,868.39,12.85
6,1042.21,14.85
7,1086.25,14.48
8,442.6,8.62
9,600.0,7.2
10,602.14,9.72
11,911.15,13.0
12,40.28,0.48
13,776.42,13.33
14,464.1,6.33
15,1209.77,15.77
16,1082.5,14.43
17,636.9,9.3
18,839.92,14.02
19,413.35,6.75
20,875.8,10.83
21,120.76,2.25
22,693.16,10.1
23,505.08,7.03
24,434.58,8.07
25,437.12,9.0
26,774.32,12.32
27,780.67,11.68
28,443.72,8.13
29,742.41,13.77
30,656.06,9.05
31,1083.56,14.95
32,712.93,11.88
33,404.6,6.3
34,947.39,13.78
35,236.66,4.57
36,716.67,8.6
37,713.89,8.57
38,766.67,9.2
39,976.63,13.88
40,960.36,12.15
41,619.04,10.45
42,830.33,14.93
43,394.04,6.45
44,430.27,7.4
45,252.28,4.45
46,659.09,11.0
47,185.0,2.47
48,575.59,8.13
49,886.91,12.27
50,387.5,5.17

Pos : 1,Iter : 1,Collisions: 25
agent_id,Distance,Time
0,879.56,13.2
1,1334.67,22.42
2,968.25,20.3
3,1513.71,27.27
4,1417.87,32.38
5,867.19,20.52
6,1043.17,14.22
7,1080.7,22.23
8,442.02,7.55
9,600.11,7.55
10,1075.29,27.52
11,1569.4,26.32
12,40.28,0.48
13,776.71,16.7
14,464.21,5.88
15,907.07,12.68
16,1380.69,27.22
17,1240.4,26.97
18,1084.39,30.38
19,415.0,10.53
20,878.22,16.33
21,1013.94,26.68
22,1035.9,22.2
23,1720.17,32.52
24,444.44,5.33
25,1299.57,20.0
26,1187.63,19.43
27,1386.08,31.98
28,396.32,15.12
29,1191.66,24.45
30,669.68,20.18
31,913.37,12.38
32,294.13,4.38
33,347.65,4.63
34,844.51,19.17
35,626.39,12.52
36,552.45,17.8
37,485.64,6.88
38,783.46,10.35
39,552.22,14.95
40,717.12,10.8
41,654.9,9.18
42,779.25,15.55
43,415.0,5.53
44,1271.33,24.37
45,271.13,4.73
46,336.22,4.38
47,330.56,3.97
48,686.17,13.2
49,568.29,23.93
50,1393.98,20.0
51,609.9,8.52
52,458.33,5.83
53,611.6,15.23
54,502.14,7.07
55,856.41,10.73
56,387.61,6.13
57,1481.88,21.2
58,1506.0,27.88
59,406.33,6.38
60,522.05,11.53
61,1244.93,34.25

Pos : 1,Iter : 2,Collisions: 26
agent_id,Distance,Time
0,882.65,13.0
1,899.68,16.62
2,1338.35,18.47
3,1339.98,30.52
4,1311.33,23.92
5,1359.4,26.73
6,1042.69,20.0
7,1080.65,22.07
8,442.21,8.03
9,607.99,7.72
10,301.11,10.22
11,909.61,16.25
12,40.28,0.48
13,990.95,20.67
14,522.67,12.15
15,910.01,18.15
16,1382.81,21.38
17,636.07,11.03
18,1199.08,30.45
19,415.0,5.53
20,877.68,13.73
21,1032.13,31.2
22,1530.85,33.92
23,811.38,20.62
24,444.44,5.33
25,1876.62,36.72
26,1488.66,32.37
27,715.42,20.5
28,388.1,10.83
29,1188.14,19.42
30,973.46,18.2
31,913.75,12.18
32,293.53,5.0
33,347.65,4.63
34,414.04,9.75
35,626.39,7.52
36,855.48,24.75
37,485.38,6.87
38,783.46,10.35
39,854.07,24.32
40,717.45,15.82
41,654.04,9.37
42,1081.28,25.95
43,415.0,5.53
44,1272.17,24.2
45,271.35,4.23
46,336.22,4.38
47,330.56,3.97
48,988.15,24.9
49,405.2,12.12
